Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,None
20:10,0,,,,,,,
20:15,0,,,,,,,
20:20,0,,,,,,,
20:25,0,,,,,,,
20:30,0,,,,,,,
20:35,0,,,,,,,
20:40,0,,,,,,,
20:45,0,,,,,,,
20:50,0,,,,,,,
20:55,0,,,,,,,
21:00,0,,,,,,,
21:05,0,,,,,,,
21:10,0,,,,,,,
21:15,0,,,,,,,
21:20,0,,,,,,,
21:25,0,,,,,,,
21:30,0,,,,,,,
21:35,0,,,,,,,
21:40,0,,,,,,,
21:45,0,,,,,,,
21:50,0,,,,,,,
21:55,0,,,,,,,
22:00,0,,,,,,,
22:05,0,,,,,,,
22:10,0,,,,,,,
22:15,0,,,,,,,
22:20,0,,,,,,,
22:25,0,,,,,,,
22:30,0,,,,,,,
22:35,0,,,,,,,
22:40,0,,,,,,,
22:45,0,,,,,,,
22:50,0,,,,,,,
22:55,0,,,,,,,
23:00,0,,,,,,,
23:05,0,,,,,,,
23:10,0,,,,,,,
23:15,0,,,,,,,
23:20,0,,,,,,,
23:25,0,,,,,,,
23:30,0,,,,,,,
23:35,0,,,,,,,
23:40,0,,,,,,,
23:45,0,,,,,,,
23:50,0,,,,,,,
23:55,0,,,,,,,
,,,,,,,,
0:00,,0,,,,,,
0:05,,0,,,,,,
0:10,,0,,,,,,
0:15,,0,,,,,,
0:20,,0,,,,,,
0:25,,0,,,,,,
0:30,,0,,,,,,
0:35,,0,,,,,,
0:40,,0,,,,,,
0:45,,0,,,,,,
0:50,,0,,,,,,
0:55,,0,,,,,,
1:00,,0,,,,,,
1:05,,0,,,,,,
1:10,,0,,,,,,
1:15,,0,,,,,,
1:20,,0,,,,,,
1:25,,0,,,,,,
1:30,,0,,,,,,
1:35,,0,,,,,,
1:40,,0,,,,,,
1:45,,0,,,,,,
1:50,,0,,,,,,
1:55,,0,,,,,,
2:00,,0,,,,,,
2:05,,0,,,,,,
2:10,,0,,,,,,
2:15,,0,,,,,,
2:20,,0,,,,,,
2:25,,0,,,,,,
2:30,,0,,,,,,
2:35,,0,,,,,,
2:40,,0,,,,,,
2:45,,0,,,,,,
2:50,,0,,,,,,
2:55,,0,,,,,,
3:00,,0,,,,,,
3:05,,0,,,,,,
3:10,,0,,,,,,
3:15,,0,,,,,,
3:20,,0,,,,,,
3:25,,0,,,,,,
3:30,,0,,,,,,
3:35,,0,,,,,,
3:40,,0,,,,,,
3:45,,0,,,,,,
3:50,,0,,,,,,
3:55,,0,,,,,,
4:00,,0,,,,,,
4:05,,0,,,,,,
4:10,,0,,,,,,
4:15,,0,,,,,,
4:20,,0,,,,,,
4:25,,0,,,,,,
4:30,,0,,,,,,
4:35,,0,,,,,,
4:40,,0,,,,,,
4:45,,0,,,,,,
4:50,,0,,,,,,
4:55,,0,,,,,,
5:00,,0,,,,,,
5:05,,0,,,,,,
5:10,,0,,,,,,
5:15,,0,,,,,,
5:20,,0,,,,,,
5:25,,0,,,,,,
5:30,,0,,,,,,
5:35,,0,,,,,,
5:40,,0,,,,,,
5:45,,0,,,,,,
5:50,,0,,,,,,
5:55,,0,,,,,,
6:00,,0,,,,,,
6:05,,0,,,,,,
6:10,,0,,,,,,
6:15,,1,,,,,,
6:20,,2,,,,,,
6:25,,2,,,,,,
6:30,,2,,,,,,
6:35,,4,,,,,,
6:40,,5,,,,,,
6:45,,5,,,,,,
6:50,,6,,,,,,
6:55,,6,,,,,,
7:00,,7,,,,,,
7:05,,7,,,,,,
7:10,,7,,,,,,
7:15,,8,,,,,,
7:20,,9,,,,,,
7:25,,10,,,,,,
7:30,,10,,,,,,
7:35,,12,,,,,,
7:40,,15,,,,,,
7:45,,16,,,,,,
7:50,,25,,,,,,
7:55,,27,,,,,,
8:00,,30,,,,,,
8:05,,31,,,,,,
8:10,,33,,,,,,
8:15,,32,,,,,,
8:20,,34,,,,,,
8:25,,36,,,,,,
8:30,,38,,,,,,
8:35,,40,,,,,,
8:40,,43,,,,,,
8:45,,43,,,,,,
8:50,,53,,,,,,
8:55,,52,,,,,,
9:00,,52,,,,,,
9:05,,55,,,,,,
9:10,,56,,,,,,
9:15,,55,,,,,,
9:20,,56,,,,,,
9:25,,52,,,,,,
9:30,,54,,,,,,
9:35,,65,,,,,,
9:40,,62,,,,,,
9:45,,66,,,,,,
9:50,,62,,,,,,
9:55,,67,,,,,,
10:00,,75,,,,,,
10:05,,75,,,,,,
10:10,,76,,,,,,
10:15,,74,,,,,,
10:20,,75,,,,,,
10:25,,74,,,,,,
10:30,,77,,,,,,
10:35,,76,,,,,,
10:40,,76,,,,,,
10:45,,75,,,,,,
10:50,,78,,,,,,
10:55,,75,,,,,,
11:00,,80,,,,,,
11:05,,86,,,,,,
11:10,,86,,,,,,
11:15,,87,,,,,,
11:20,,86,,,,,,
11:25,,88,,,,,,
11:30,,84,,,,,,
11:35,,88,,,,,,
11:40,,85,,,,,,
11:45,,87,,,,,,
11:50,,84,,,,,,
11:55,,89,,,,,,
12:00,,80,,,,,,
12:05,,82,,,,,,
12:10,,83,,,,,,
12:15,,82,,,,,,
12:20,,82,,,,,,
12:25,,89,,,,,,
12:30,,82,,,,,,
12:35,,90,,,,,,
12:40,,91,,,,,,
12:45,,92,,,,,,
12:50,,94,,,,,,
12:55,,92,,,,,,
13:00,,96,,,,,,
13:05,,95,,,,,,
13:10,,97,,,,,,
13:15,,99,,,,,,
13:20,,100,,,,,,
13:25,,97,,,,,,
13:30,,96,,,,,,
13:35,,98,,,,,,
13:40,,99,,,,,,
13:45,,96,,,,,,
13:50,,99,,,,,,
13:55,,96,,,,,,
14:00,,86,,,,,,
14:05,,89,,,,,,
14:10,,88,,,,,,
14:15,,87,,,,,,
14:20,,87,,,,,,
14:25,,89,,,,,,
14:30,,88,,,,,,
14:35,,86,,,,,,
14:40,,89,,,,,,
14:45,,88,,,,,,
14:50,,76,,,,,,
14:55,,79,,,,,,
15:00,,78,,,,,,
15:05,,78,,,,,,
15:10,,70,,,,,,
15:15,,70,,,,,,
15:20,,78,,,,,,
15:25,,73,,,,,,
15:30,,72,,,,,,
15:35,,79,,,,,,
15:40,,64,,,,,,
15:45,,64,,,,,,
15:50,,62,,,,,,
15:55,,68,,,,,,
16:00,,65,,,,,,
16:05,,66,,,,,,
16:10,,67,,,,,,
16:15,,53,,,,,,
16:20,,54,,,,,,
16:25,,57,,,,,,
16:30,,55,,,,,,
16:35,,44,,,,,,
16:40,,34,,,,,,
16:45,,33,,,,,,
16:50,,32,,,,,,
16:55,,36,,,,,,
17:00,,33,,,,,,
17:05,,39,,,,,,
17:10,,33,,,,,,
17:15,,39,,,,,,
17:20,,37,,,,,,
17:25,,32,,,,,,
17:30,,35,,,,,,
17:35,,34,,,,,,
17:40,,33,,,,,,
17:45,,30,,,,,,
17:50,,30,,,,,,
17:55,,29,,,,,,
18:00,,24,,,,,,
18:05,,26,,,,,,
18:10,,21,,,,,,
18:15,,26,,,,,,
18:20,,16,,,,,,
18:25,,14,,,,,,
18:30,,16,,,,,,
18:35,,14,,,,,,
18:40,,12,,,,,,
18:45,,15,,,,,,
18:50,,15,,,,,,
18:55,,14,,,,,,
19:00,,15,,,,,,
19:05,,13,,,,,,
19:10,,12,,,,,,
19:15,,13,,,,,,
19:20,,12,,,,,,
19:25,,12,,,,,,
19:30,,13,,,,,,
19:35,,14,,,,,,
19:40,,13,,,,,,
19:45,,8,,,,,,
19:50,,3,,,,,,
19:55,,4,,,,,,
20:00,,0,,,,,,
20:05,,0,,,,,,
20:10,,0,,,,,,
20:15,,0,,,,,,
20:20,,0,,,,,,
20:25,,0,,,,,,
20:30,,0,,,,,,
20:35,,0,,,,,,
20:40,,0,,,,,,
20:45,,0,,,,,,
20:50,,0,,,,,,
20:55,,0,,,,,,
21:00,,0,,,,,,
21:05,,0,,,,,,
21:10,,0,,,,,,
21:15,,0,,,,,,
21:20,,0,,,,,,
21:25,,0,,,,,,
21:30,,0,,,,,,
21:35,,0,,,,,,
21:40,,0,,,,,,
21:45,,0,,,,,,
21:50,,0,,,,,,
21:55,,0,,,,,,
22:00,,0,,,,,,
22:05,,0,,,,,,
22:10,,0,,,,,,
22:15,,0,,,,,,
22:20,,0,,,,,,
22:25,,0,,,,,,
22:30,,0,,,,,,
22:35,,0,,,,,,
22:40,,0,,,,,,
22:45,,0,,,,,,
22:50,,0,,,,,,
22:55,,0,,,,,,
23:00,,0,,,,,,
23:05,,0,,,,,,
23:10,,0,,,,,,
23:15,,0,,,,,,
23:20,,0,,,,,,
23:25,,0,,,,,,
23:30,,0,,,,,,
23:35,,0,,,,,,
23:40,,0,,,,,,
23:45,,0,,,,,,
23:50,,0,,,,,,
23:55,,0,,,,,,
,,,,,,,,
0:00,,,0,,,,,
0:05,,,0,,,,,
0:10,,,0,,,,,
0:15,,,0,,,,,
0:20,,,0,,,,,
