Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,None
20:10,0,,,,,,,
20:15,0,,,,,,,
20:20,0,,,,,,,
20:25,0,,,,,,,
20:30,0,,,,,,,
20:35,0,,,,,,,
20:40,0,,,,,,,
20:45,0,,,,,,,
20:50,0,,,,,,,
20:55,0,,,,,,,
21:00,0,,,,,,,
21:05,0,,,,,,,
21:10,0,,,,,,,
21:15,0,,,,,,,
21:20,0,,,,,,,
21:25,0,,,,,,,
21:30,0,,,,,,,
21:35,0,,,,,,,
21:40,0,,,,,,,
21:45,0,,,,,,,
21:50,0,,,,,,,
21:55,0,,,,,,,
22:00,0,,,,,,,
22:05,0,,,,,,,
22:10,0,,,,,,,
22:15,0,,,,,,,
22:20,0,,,,,,,
22:25,0,,,,,,,
22:30,0,,,,,,,
22:35,0,,,,,,,
22:40,0,,,,,,,
22:45,0,,,,,,,
22:50,0,,,,,,,
22:55,0,,,,,,,
23:00,0,,,,,,,
23:05,0,,,,,,,
23:10,0,,,,,,,
23:15,0,,,,,,,
23:20,0,,,,,,,
23:25,0,,,,,,,
23:30,0,,,,,,,
23:35,0,,,,,,,
23:40,0,,,,,,,
23:45,0,,,,,,,
23:50,0,,,,,,,
23:55,0,,,,,,,
,,,,,,,,
0:00,,0,,,,,,
0:05,,0,,,,,,
0:10,,0,,,,,,
0:15,,0,,,,,,
0:20,,0,,,,,,
0:25,,0,,,,,,
0:30,,0,,,,,,
0:35,,0,,,,,,
0:40,,0,,,,,,
0:45,,0,,,,,,
0:50,,0,,,,,,
0:55,,0,,,,,,
1:00,,0,,,,,,
1:05,,0,,,,,,
1:10,,0,,,,,,
1:15,,0,,,,,,
1:20,,0,,,,,,
1:25,,0,,,,,,
1:30,,0,,,,,,
1:35,,0,,,,,,
1:40,,0,,,,,,
1:45,,0,,,,,,
1:50,,0,,,,,,
1:55,,0,,,,,,
2:00,,0,,,,,,
2:05,,0,,,,,,
2:10,,0,,,,,,
2:15,,0,,,,,,
2:20,,0,,,,,,
2:25,,0,,,,,,
2:30,,0,,,,,,
2:35,,0,,,,,,
2:40,,0,,,,,,
2:45,,0,,,,,,
2:50,,0,,,,,,
2:55,,0,,,,,,
3:00,,0,,,,,,
3:05,,0,,,,,,
3:10,,0,,,,,,
3:15,,0,,,,,,
3:20,,0,,,,,,
3:25,,0,,,,,,
3:30,,0,,,,,,
3:35,,0,,,,,,
3:40,,0,,,,,,
3:45,,0,,,,,,
3:50,,0,,,,,,
3:55,,0,,,,,,
4:00,,0,,,,,,
4:05,,0,,,,,,
4:10,,0,,,,,,
4:15,,0,,,,,,
4:20,,0,,,,,,
4:25,,0,,,,,,
4:30,,0,,,,,,
4:35,,0,,,,,,
4:40,,0,,,,,,
4:45,,0,,,,,,
4:50,,0,,,,,,
4:55,,0,,,,,,
5:00,,0,,,,,,
5:05,,0,,,,,,
5:10,,0,,,,,,
5:15,,0,,,,,,
5:20,,0,,,,,,
5:25,,0,,,,,,
5:30,,0,,,,,,
5:35,,0,,,,,,
5:40,,0,,,,,,
5:45,,0,,,,,,
5:50,,0,,,,,,
5:55,,0,,,,,,
6:00,,0,,,,,,
6:05,,0,,,,,,
6:10,,0,,,,,,
6:15,,0,,,,,,
6:20,,0,,,,,,
6:25,,0,,,,,,
6:30,,1,,,,,,
6:35,,1,,,,,,
6:40,,1,,,,,,
6:45,,1,,,,,,
6:50,,1,,,,,,
6:55,,1,,,,,,
7:00,,1,,,,,,
7:05,,1,,,,,,
7:10,,1,,,,,,
7:15,,1,,,,,,
7:20,,4,,,,,,
7:25,,5,,,,,,
7:30,,5,,,,,,
7:35,,6,,,,,,
7:40,,6,,,,,,
7:45,,7,,,,,,
7:50,,8,,,,,,
7:55,,8,,,,,,
8:00,,8,,,,,,
8:05,,9,,,,,,
8:10,,8,,,,,,
8:15,,10,,,,,,
8:20,,12,,,,,,
8:25,,12,,,,,,
8:30,,13,,,,,,
8:35,,15,,,,,,
8:40,,15,,,,,,
8:45,,16,,,,,,
8:50,,16,,,,,,
8:55,,17,,,,,,
9:00,,43,,,,,,
9:05,,46,,,,,,
9:10,,43,,,,,,
9:15,,46,,,,,,
9:20,,47,,,,,,
9:25,,42,,,,,,
9:30,,44,,,,,,
9:35,,44,,,,,,
9:40,,42,,,,,,
9:45,,43,,,,,,
9:50,,45,,,,,,
9:55,,42,,,,,,
10:00,,54,,,,,,
10:05,,54,,,,,,
10:10,,57,,,,,,
10:15,,58,,,,,,
10:20,,54,,,,,,
10:25,,58,,,,,,
10:30,,58,,,,,,
10:35,,54,,,,,,
10:40,,58,,,,,,
10:45,,55,,,,,,
10:50,,57,,,,,,
10:55,,54,,,,,,
11:00,,68,,,,,,
11:05,,65,,,,,,
11:10,,69,,,,,,
11:15,,66,,,,,,
11:20,,66,,,,,,
11:25,,68,,,,,,
11:30,,65,,,,,,
11:35,,66,,,,,,
11:40,,66,,,,,,
11:45,,65,,,,,,
11:50,,66,,,,,,
11:55,,65,,,,,,
12:00,,83,,,,,,
12:05,,83,,,,,,
12:10,,82,,,,,,
12:15,,79,,,,,,
12:20,,81,,,,,,
12:25,,79,,,,,,
12:30,,82,,,,,,
12:35,,80,,,,,,
12:40,,79,,,,,,
12:45,,82,,,,,,
12:50,,83,,,,,,
12:55,,83,,,,,,
13:00,,95,,,,,,
13:05,,98,,,,,,
13:10,,80,,,,,,
13:15,,79,,,,,,
13:20,,78,,,,,,
13:25,,75,,,,,,
13:30,,75,,,,,,
13:35,,76,,,,,,
13:40,,70,,,,,,
13:45,,70,,,,,,
13:50,,79,,,,,,
13:55,,78,,,,,,
14:00,,67,,,,,,
14:05,,66,,,,,,
14:10,,66,,,,,,
14:15,,65,,,,,,
14:20,,69,,,,,,
14:25,,66,,,,,,
14:30,,50,,,,,,
14:35,,58,,,,,,
14:40,,56,,,,,,
14:45,,56,,,,,,
14:50,,58,,,,,,
14:55,,59,,,,,,
15:00,,41,,,,,,
15:05,,48,,,,,,
15:10,,67,,,,,,
15:15,,84,,,,,,
15:20,,89,,,,,,
15:25,,93,,,,,,
15:30,,102,,,,,,
15:35,,117,,,,,,
15:40,,70,,,,,,
15:45,,83,,,,,,
15:50,,92,,,,,,
15:55,,101,,,,,,
16:00,,116,,,,,,
16:05,,126,,,,,,
16:10,,133,,,,,,
16:15,,133,,,,,,
16:20,,133,,,,,,
16:25,,135,,,,,,
16:30,,144,,,,,,
16:35,,143,,,,,,
16:40,,147,,,,,,
16:45,,147,,,,,,
16:50,,144,,,,,,
16:55,,133,,,,,,
17:00,,120,,,,,,
17:05,,126,,,,,,
17:10,,125,,,,,,
17:15,,114,,,,,,
17:20,,117,,,,,,
17:25,,114,,,,,,
17:30,,114,,,,,,
17:35,,110,,,,,,
17:40,,106,,,,,,
17:45,,103,,,,,,
17:50,,107,,,,,,
17:55,,109,,,,,,
18:00,,94,,,,,,
18:05,,91,,,,,,
18:10,,85,,,,,,
18:15,,84,,,,,,
18:20,,76,,,,,,
18:25,,73,,,,,,
18:30,,63,,,,,,
18:35,,60,,,,,,
18:40,,51,,,,,,
18:45,,54,,,,,,
18:50,,41,,,,,,
18:55,,46,,,,,,
19:00,,35,,,,,,
19:05,,32,,,,,,
19:10,,22,,,,,,
19:15,,24,,,,,,
19:20,,13,,,,,,
19:25,,15,,,,,,
19:30,,15,,,,,,
19:35,,12,,,,,,
19:40,,15,,,,,,
19:45,,13,,,,,,
19:50,,4,,,,,,
19:55,,5,,,,,,
20:00,,0,,,,,,
20:05,,0,,,,,,
20:10,,0,,,,,,
20:15,,0,,,,,,
20:20,,0,,,,,,
20:25,,0,,,,,,
20:30,,0,,,,,,
20:35,,0,,,,,,
20:40,,0,,,,,,
20:45,,0,,,,,,
20:50,,0,,,,,,
20:55,,0,,,,,,
21:00,,0,,,,,,
21:05,,0,,,,,,
21:10,,0,,,,,,
21:15,,0,,,,,,
21:20,,0,,,,,,
21:25,,0,,,,,,
21:30,,0,,,,,,
21:35,,0,,,,,,
21:40,,0,,,,,,
21:45,,0,,,,,,
21:50,,0,,,,,,
21:55,,0,,,,,,
22:00,,0,,,,,,
22:05,,0,,,,,,
22:10,,0,,,,,,
22:15,,0,,,,,,
22:20,,0,,,,,,
22:25,,0,,,,,,
22:30,,0,,,,,,
22:35,,0,,,,,,
22:40,,0,,,,,,
22:45,,0,,,,,,
22:50,,0,,,,,,
22:55,,0,,,,,,
23:00,,0,,,,,,
23:05,,0,,,,,,
23:10,,0,,,,,,
23:15,,0,,,,,,
23:20,,0,,,,,,
23:25,,0,,,,,,
23:30,,0,,,,,,
23:35,,0,,,,,,
23:40,,0,,,,,,
23:45,,0,,,,,,
23:50,,0,,,,,,
23:55,,0,,,,,,
,,,,,,,,
0:00,,,0,,,,,
0:05,,,0,,,,,
0:10,,,0,,,,,
0:15,,,0,,,,,
0:20,,,0,,,,,
