Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
15:40,,0,,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
15:46,,1,,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
15:56,,1,,,,,
15:56,,1,,,,,
15:56,,1,,,,,
15:56,,2,,,,,
15:56,,2,,,,,
15:57,,2,,,,,
15:57,,2,,,,,
15:57,,2,,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0:0,,0,,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
16:17,,1,,,,,
16:17,,1,,,,,
16:18,,1,,,,,
16:18,,1,,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
16:25,,1,,,,,
16:26,,1,,,,,
16:26,,1,,,,,
16:26,,2,,,,,
16:26,,2,,,,,
16:26,,2,,,,,
16:26,,2,,,,,
16:27,,2,,,,,
16:27,,1,,,,,
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
17:11,,,,,,1,
17:12,,,,,,1,
